date,open,high,low,close
2025-02-17,196.58,205.11,187.18,188.17
2025-02-21,188.26,189.41,161.66,176.02
2025-02-25,176.07,180.28,141.17,141.17
2025-03-01,141.96,148.27,126.1,148.17
2025-03-05,147.98,178.32,132.68,145.06
2025-03-09,144.34,152.53,135.24,136.88
2025-03-13,136.88,139.63,113.78,126.57
2025-03-17,126.44,136.35,121.11,126.17
2025-03-21,126.12,136.09,121.91,127.68
2025-03-25,127.82,145.14,125.34,140.58
2025-03-29,140.98,147.2,128.46,129.45
2025-04-02,129.55,130.29,122.95,126.81
2025-04-06,126.65,134.14,112.64,120.17
2025-04-10,120.17,120.84,96.7,118.96
2025-04-14,119.05,133.47,108.85,128.23
2025-04-18,128.22,135.63,123.93,134.62
2025-04-22,134.68,142.2,132.71,136.33
2025-04-26,136.4,155.46,135.93,150.92
2025-04-30,150.94,152.91,145.12,146.49
2025-05-04,146.44,153.32,141.31,146.8
2025-05-08,146.76,149.28,141.9,147.2
2025-05-12,147.21,179.62,147.21,172.86
2025-05-16,173.02,184.05,167.32,168.75
2025-05-20,169.0,176.13,160.52,166.71
2025-05-24,166.78,186.92,165.22,174.44
2025-05-28,174.3,178.9,169.9,176.58
2025-06-01,176.61,177.03,152.78,156.87
2025-06-05,156.82,162.57,151.03,153.53
2025-06-09,153.48,154.64,142.38,152.5
2025-06-13,152.48,167.8,150.01,152.66
2025-06-17,152.6,158.57,141.88,151.44
2025-06-21,150.92,154.02,136.98,140.04
2025-06-25,140.06,146.4,127.01,145.8
2025-06-29,145.92,152.15,137.98,150.78
2025-07-03,150.79,158.34,145.46,152.17
2025-07-07,152.29,156.04,145.55,151.92
2025-07-11,151.92,164.76,147.99,163.86
2025-07-15,163.75,168.18,158.26,162.28
2025-07-19,162.28,184.13,157.97,177.37
2025-07-23,177.35,205.29,174.64,205.29
2025-07-27,205.19,205.19,176.94,184.94
2025-07-31,184.83,194.21,173.22,177.88
2025-08-04,177.81,182.53,156.11,161.9
2025-08-08,161.85,175.39,161.45,175.39
2025-08-12,175.25,186.35,173.9,175.05
